dateissued	typefull	identifier	title	descriptionallpeople																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311547300	Design  valori culturali scenari evolutivi  varianti qualitative	Mangiarotti																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311547324	Introduzione	 PIZZOCARO  FIGIANI																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311547373	Retail design   opportunuty   qualitative development   city	 Gerosa																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311547375	Merchandising museale	 Gerosa																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311547378	 progetto dello spazio retail	 Gerosa																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311547423	Diverse attività  design  diverse attività economiche	  Ferraris																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311547469	Hard Design  Soft Design	  Ferraris																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311547489	Progetti  corso  Tecnologie  strutture	Maiocchi Pillan																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311547675	Vittoriano Viganò  progetto  Creatività  Metodo	 Scullica																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311547676	Gianfranco Frattini  calda umanità  razionalismo italiano	 Scullica																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311547714	 linguaggio  territorio	 Trocchianesi																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311547716	 scenario Riserva    scenario Serra  fertilità  scenario Porto  Terraferma	 Trocchianesi  Cavalleri																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311547717	Workshop  progetti bandiera nello scenario  sviluppo Riserva  	 Trocchianesi																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311547742	 progetto trasversale comunicare  valore  territorio	 Trocchianesi																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311547816	 territorio  dalla complessità  progetto	 Lupo																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311547828	 Laboratorio Density Design  design della comunicazione   rappresentazione visuale della complessità	Paolo Ciuccarelli																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311547865	L’univers  Léonard  Vinci peintre d’herbes	 Cordera																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311547867	Dell’arte  ornare   elegante degli ordini	 Cordera																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311547877	Review design  sustainable consumption  production systems	 Vezzoli  Manzini																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311547931	 descrizione della luce	Francesco Murano																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311547939	Informazioni  saper scegliere	Francesco Murano																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311547957	Prefazione	 Galbiati																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311547958	 retail come luogo  comunicazione	 Galbiati																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311547976	ERGOLOGOS	 FIGIANI																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311547985	 scuola  progetto   tema della sanità	 Pillan																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311548049	 numeri  dottorato figures    programs	 Visconti																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311548051	 aree disciplinari della ricerca dottorale Dosciplinary areas   research	 Visconti																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311548052	Categorie   temi  ricerca  mappa fenomenologica  categories  research topics  phenomenological 	 Visconti																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311548222	Architetture  Milano  1945  oggi Selezione delle opere  interesse storico artistico	 Ciaga																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311548466	Alberto Rosselli alla  ricerca   prodotto seriale	 Bosoni																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311548489	Piero  Martini  progetto razionale   mondo casual	 Bosoni																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311548509	Patrick Jouin   nuovo spazio gravitazionale  casa	 Bosoni																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311548527	Afra  Tobia Scarpa  Conversation with Tobia Scarpa	 Bosoni																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311548550	Sottsass Associati   DiwanKahs  Pretty Girls	 Bosoni																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311548554	Hannes Wettstein Purism  Fluency	 Bosoni																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311548556	Rodolfo Dordoni  Austerity   Conceptual Approach	 Bosoni																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311548559	 Conversation with Piero Lissoni	 Bosoni																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311548561	Appunti sugli anni 	 Bosoni																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311548793	 passato  futuro  strumenti  stampa tessile dall’archivio storico alla produzione attuale	  Manciaracina																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311549065	 tools   design tessile	Arturo Dell'Acqua Bellavitis																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311549069	L’innovazione tecnologica   performances	Arturo Dell'Acqua Bellavitis																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311549072	 nuovi strumenti   comprensione  prodotti    valorizzazione  loro valori comunicativi	Arturo Dell'Acqua Bellavitis																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311549718	Colore delle case cantoniere	 Finessi																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311549801	ROSSO VIGANO	CAPPELLIERI																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311550076	Experimental researches into longterm behaviour  historical masonry	 Anzani  Binda  Mirabella Roberti																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311550375	 design  sistema prodotto	 Collina																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311550393	 valore  design   	 Seassaro  Simonelli																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311550395	Caratteri  design italiano	 Simonelli																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311550398	 profilo  designer  dimensione associativa   sistema formativo	 Simonelli																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311551491	Brand Extension corenza evoluzione percezione	 Turinetto																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311551492	Comunicare   marca attraverso  punto vendita	 Turinetto																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311551525	Creative communities  relational innovations  service design approach	 Cipolla																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311551527	 nuovo rinascimento della periferia  ricetta  riscatto investire  valori   risorse locali credere nelle potenzialità  territorio contare sull'intelligenza creativa	 Arquilla																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311551642	Interaction design	 Rizzo																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311562043	Introduzione  destino della scienza  mondo disincantato	 Volonte																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563129	Ambienti complessi	 Parlangeli  Rizzo																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311629014	Architettura arte  design   progetto della cura	 Ferraris																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311633635	Colour plan  urban design	Ceconello	 MAURO ATTILIO Bisson	 Mario Boeri	 Cristina Vignati	 Giorgio																														
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311642127	 voyage vers   siècle	Mazzanti																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311664368	Progetto   ambito spaziale  tipo igienico sanitario  collocarsi    residenza sanitarie assistenziali	 Dell'Acqua Bellavitis  Scullica  Sironi  Mariani																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311666911	Design della Comunicazione  	Paolo Ciuccarelli																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311689056	 EVALUATION  MONITORING   BASILICA   LORENZO  CREMONA	Luigia Binda Luigi Zanzi Paola Condoleo Giuliana Cardani Anna Anzani																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311689079	CRACKING   APSE   LORENZO  CREMONA STRUCTURAL INVESTIGATION  MONITORING	 ANZANI  BINDA  CANTINI  CARDANI  CONDOLEO																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311689090	Monitoring structural integrity  historic towers mixed approach  their damage evaluation	Anzani  Binda  Carpinteri  Invernizzi  Lacidogna 																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311689398	Damage Evaluation  Historic Towers Procedure  Their Integrity Assessment	 Anzani  Binda  Cardani  Condoleo   Saisi																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311689400	 Site Structural assessment  Churches  Stonework Damaged   Earthquake	 Cardani  Anzani  Binda  Saisi																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311692463	Progetto AgriCULT	 Lupo																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311693763	Identità contemporanee	 Piazza																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311707936	 mobilità degli studenti universitari  caso delle università milanesi	 Boffi  Sedini																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311707938	Creative  knowledge students  turisti  cittadini  caso studio  Toronto Città Creativa	Sedini																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311881647	houses all'italiana Emergenza  quotidianità   primo   secondo dopoguerra	Feraboli 																																		
2008	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311881648	Regesto	Feraboli  Ferrari 																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111006272	Antropometria	Andreoni	 Giuseppe Pizzagalli	 Manuela																																
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111006273	Biomeccanica Occupazionale	Andreoni	 Giuseppe																																	
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111047498	Caratteri dello spazio complesso  sostenibile	Nebuloni	 																																	
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111050198	 Bruno Metodi	Bruno	 DAVIDE MARIA																																	
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111050199	 Bruno Strumenti	Bruno	 DAVIDE MARIA																																	
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111050201	 Bruno Casi  studio	Bruno	 DAVIDE MARIA																																	
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111051285	Requisiti	Bruno	 DAVIDE MARIA																																	
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311508088	Optimally running  biomassbased energy production process	 BRUGLIERI LIBERTI 																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311543975	 scienza  design Un'evoluzione intelligente	 FERRARA																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311547834	Complexity Maps	Paolo Ciuccarelli Donato Ricci																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311547904	Oggetti  personalità	 Volonte																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311556453	L'Uomo Vitruviano come canone   scultura perfetta	MARANI																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311556468	  history  collecting seen   Leonardo drawing   Louvre philology  attribution	MARANI																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311556478	Leonardo  Vitruvian     Sstatua Treatise	MARANI																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311556757	 Manuscrits  Léonard  Paris	MARANI																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311556759	Prefazione	MARANI																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311556761	Préface	MARANI																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311561305	 ordine   colori Color Order Systems	 Boeri																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311561307	 pianificazione urbana  colore	 Boeri  Formaggini																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311561310	 progetto colore	 Boeri																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311561537	Group decision support systems  method based  Electre 	   Colorni																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311561551	Università  design  sistema delle imprese  distretto comasco	 PAOLIS	 Roberto																																	
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311561554	 valore costruttivo della tessilità nell'architettura degli interni	  Paolis																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311561555	 collaborazione  l'Associazione Italiana Disegnatori Tessili   Facoltà  Design	 PAOLIS	 Roberto																																	
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311561556	Didattica  progetto  ricerca  sperimentazione  nuovi modelli formativi	 PAOLIS	 Roberto																																	
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311562145	Aerospace Design  System   Safeguarding  Protecting  Ideas  Designs  Aerospace	 Dominoni																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311562148	SPACE MATERIALS  HUMAN FACTORS	 Dominoni																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311562440	Milano  città  sale Sviluppo urbano  architetture  primi  decenni  Novecento	  Ciagà																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311562463	 Teatro Sociale  vicende storiche  progettuali  Novecento	  Ciagà																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311562702	Servizi   reti agroalimentari  Design  Servizi come contributo alla progettazione delle aree agricole periurbane	Meroni	 Anna Simeone	 Giulia Trapani	 PAOLA MARIA																															
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311562704	Reti alimentari turistiche  didattiche  città  campagna	Manzini	 Ezio Meroni	 Anna																																
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311562984	SENSORIALITA SOSTENIBILE	CEPPI																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563103	 DESIGN ITALIANO REINCARNATO NELLA SCULTURA  SHINJO   PARADOSSO UTILE  CAPIRE  VALORI ATTUALI  PROGETTARE	GIULIO CEPPI																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563108	campus dell'innovazione	Palmieri	 																																	
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563122	 design	 Rizzo																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563208	created  customers  designed  users	 Cautela  Rizzo  Zurlo																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563210	 fatti   numeridella ricerca dottorale  design	 VILLARI																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563211	 mappa qualitativa della ricerca  designvideointerviste  blog 	 Bertolotti  Piredda  Villari																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563213	Sistema Design Politecnico laboratorio  ricerca   progetto	 Bianchini  Villari																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563214	Design  design   valorizzazionedelle risorse  Mediterraneo	 VILLARI																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563218	Pensare  analogie  strumento  innovare	 Rampino																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563220	Nuovi scenari   conservazione   preparazione degli alimenti	 Rampino																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563224	Università ricerca  imprese  passaggio generazionale come occasione  ricerca  innovazione	ARIANNA VIGNATI GIULIANO SIMONELLI																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563226	Design  continuità competitiva prassi strumenti  strategie	ARIANNA VIGNATI																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563228	Continuità  discontinuità  periodo  crisi	ARIANNA VIGNATI PAOLA MARINCOLA																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563231	 progetto  ricerca  generation  designing	ARIANNA VIGNATI																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563232	 scenari emersi  progetto	ARIANNA VIGNATI PAOLA MARINCOLA LUIGI CARBONE																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563234	Prepararsi  passaggio generazionale facendo leva  design quattro casi	ARIANNA VIGNATI PAOLA MARINCOLA LUIGI CARBONE																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563246	 indagine  campo attraverso casi studio metodologia individuazione  prime evidenze	Arianna Vignati																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563275	 didattica   colore	Bisson	 Mario																																	
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563325	Architettura allestimento opera d'arte L'invenzione espositiva come mediazione	Giampiero Bosoni																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563338	Ricerca progettuale   design  prodotto	Ferraris																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563342	Note  beni culturali contemporanei	 Guerrini																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563351	 ruolo degli archivi   settore tessilearredo	Arturo Dell'Acqua Bellavitis																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563356	Progettazione Illuminotecnica	 Murano																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563371	Strumenti  metodi  progettare   utenti	Canina	 MARIA RITA																																	
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563380	Dare forma alle idee	 Grasseli   Ferraro  Bianchini																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563395	 cultura   scena	 Trocchianesi																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563405	Product Service Systems	Vezzoli  Tischner  Rayan 																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563417	 Sistema Alimentare	 Manzini  Meroni  Jegou																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563443	Tecnologie tessili  tradizione  innovazione	  Soldati																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563483	Prefazione Progettare nella società della conoscenza	 Penati																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563533	Dall'invenzione all'innovazione  brevetti nella moda	Alba Cappellieri																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563537	Esperienze  design   	 Arquilla  Castelli																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563542	Differential Equations  Global Optimization	 Bruglieri  Maponi  Recchioni  Zirilli																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563561		Alba Cappellieri																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563566	 piano  sviluppo  Polo  Como	 Deserti																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563624	 paradossale arte  visual	Giovanni Baule																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563625	 mutazioni  design della comunicazione	Giovanni Baule Valeria Bucchetti																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563627	Sustainable Scenarios  Upstream Waste Reduction   Food Chain	 Vezzoli  Ceschin																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563628	Nuove congruenze	Giovanni Baule																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563653	Pratiche allestitive   luoghi della mobilità contemporanea	 Rebaglio																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563654	Arte  paesaggio	 Mazzanti																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563661	 design  sistema   sostenibilità Nuovi ambiti operativi  nuovi metodi  strumenti  supporto  designer	 Vezzoli  Ceschin																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563662	Introduzione  marketing sovversivo	 GALBIATI																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563677	 studio Castiglioni diventa museo	 GALBIATI																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563687	 tessile  crisi  traiettorie  innovazione	 Bertola																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563708	 Radici  un'evoluzione	Biamonti	  Birindelli	 																																
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563710	Dust  multidimensionalità  dato    visualizzazione	 Ricci  Caviglia  Ciuccarelli																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563712	 design   temporary  sustainable mobility   design  temporaneo   mobilità sostenibile	 Fassi																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563721	Interior design  decorazione	Arturo Dell'Acqua Bellavitis																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563724	 progetto  colore nella creazione delle tendenze moda	Arturo Dell'Acqua Bellavitis																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563725	Design oriented scenarios Generating  shared visions  sustainable product service systems	Manzini	 Ezio 	 Jegou Meroni	 Anna																															
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563728	Interior Light  Board	 Piardi																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563736	Modi  forme  design italiano	Giampiero Bosoni																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563739	Food Networks	Meroni	 Anna Simeone	 Giulia																																
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563742	1969  dintorni  futuro annunciato	Giampiero Bosoni																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563750	ideali Integrare design  arredo  l’autonomia individuale	 Costa  Pizzagalli  Muschiato																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563755	 luogo   luogo spazi  vuoti urbani	Spagnoli	 Alessandra																																	
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563757	Paura  dimensione linguistica	 Trocchianesi																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563761	Fear  Insecurity   contemporary urban outdoor spaces	 Trocchianesi																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563799	Design  Cultural Heritage Valorizzare Bosa	 Trocchianesi																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563814	Paesaggio Culturale glossa	 Trocchianesi																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563816	antropologia territoriale glossa	 Trocchianesi																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563817	geografia culturale glossa	 Trocchianesi																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563818	metalinguaggio glossa	 Trocchianesi																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563820	semiotica  territorio glossa	 Trocchianesi																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563823	 School  themes  common design project	 Lupo  Campagnaro																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563824	 event	Lupo  Campagnaro																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563826	 risultati della ricerca cult  repertorio fondativo  design   beni culturali	 Lupo																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563827	Reti  competenze  campo  beni culturali pubblicazioni strumenti tecnicofinanziari offerte formative  soggetti istituzionali  salvaguardia  promozione  territorio	 Lupo  Cristallo																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563828	 lettura  design palese  beni culturali attraverso  concorsi  premi  design degli anni 20002006	 Lupo  Seassaro																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563829	Esempi eccellenti  design   beni culturali concorsi  premi	 Lupo																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563833	Sociologia  beni culturali voce glossario	 Lupo																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563858	Interni  Design	 Scullica																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563859	Industrial Design	 Scullica																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563861	Villa Carlevaro	 Scullica																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563863	Laboratorio  Computer Grafica	 Bertolo  Guidi  Zannoni																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563908	 didattica della rappresentazione digitale  corso  laurea  Design  Prodotto Industriale	 Brevi																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563921	 rete  ricerca  design   beni culturali	 Simonelli																																		
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563934	 ricerca Cult  design   valorizzazione  beni culturali Strategie strumenti  metodologie  progetto	Parente	 Marina																																	
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563935	Strategie  valorizzazione dello StudioMuseo Achille Castiglioni	Parente	 Marina																																	
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563945	Scheda RicercaAzione Strategie  valorizzazione dello Studio Museo Achille Castiglioni	Parente	 Marina																																	
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563947	Bene Culturale	Parente	 Marina																																	
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563950	Ecomuseo	Parente	 Marina																																	
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563952	Patrimonio Culturale	Parente	 Marina																																	
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563953	Patrimonio culturale immateriale Intangible Cultural Heritage	Parente	 Marina																																	
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563955	Design   beni culturali glossa	Lupo	 Eleonora Parente	 Marina																																
2009	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311563969	Light  Board	Lanz	 Francesca Piardi	 SILVIA ELVIRA MARIA Pasina	 Irene																															
